"from","to","target","source"
"Om Prakash","Keshto Mukherjee",163,53
"Asrani","David Abraham",55,54
"Asrani","Usha Kiran",56,54
"Asrani","Lily Chakravarty",57,54
"Asrani","Keshto Mukherjee",163,54
"David Abraham","Usha Kiran",56,55
"David Abraham","Lily Chakravarty",57,55
"David Abraham","Keshto Mukherjee",163,55
"Usha Kiran","Lily Chakravarty",57,56
"Usha Kiran","Keshto Mukherjee",163,56
"Lily Chakravarty","Keshto Mukherjee",163,57
"Amitabh Bachchan","Shatrughan Sinha",58,1
"Amitabh Bachchan","Zeenat Aman",49,1
"Amitabh Bachchan","Prem Chopra",59,1
"Amitabh Bachchan","Amrish Puri",60,1
"Amitabh Bachchan","Helen",61,1
"Amitabh Bachchan","Pran",62,1
"Amitabh Bachchan","Gajanan Jagirdar",63,1
"Amitabh Bachchan","Sajjan",64,1
"Amitabh Bachchan","Iftekhar",152,1
"Shatrughan Sinha","Zeenat Aman",49,58
"Shatrughan Sinha","Prem Chopra",59,58
"Shatrughan Sinha","Amrish Puri",60,58
"Shatrughan Sinha","Helen",61,58
"Shatrughan Sinha","Pran",62,58
"Shatrughan Sinha","Gajanan Jagirdar",63,58
"Shatrughan Sinha","Sajjan",64,58
"Shatrughan Sinha","Iftekhar",152,58
"Zeenat Aman","Prem Chopra",59,49
"Zeenat Aman","Amrish Puri",60,49
"Zeenat Aman","Helen",61,49
"Zeenat Aman","Pran",62,49
"Zeenat Aman","Gajanan Jagirdar",63,49
"Zeenat Aman","Sajjan",64,49
"Zeenat Aman","Iftekhar",152,49
"Prem Chopra","Amrish Puri",60,59
"Prem Chopra","Helen",61,59
"Prem Chopra","Pran",62,59
"Prem Chopra","Gajanan Jagirdar",63,59
"Prem Chopra","Sajjan",64,59
"Prem Chopra","Iftekhar",152,59
"Amrish Puri","Helen",61,60
"Amrish Puri","Pran",62,60
"Amrish Puri","Gajanan Jagirdar",63,60
"Amrish Puri","Sajjan",64,60
"Amrish Puri","Iftekhar",152,60
"Helen","Pran",62,61
"Helen","Gajanan Jagirdar",63,61
"Helen","Sajjan",64,61
"Helen","Iftekhar",152,61
"Pran","Gajanan Jagirdar",63,62
"Pran","Sajjan",64,62
"Pran","Iftekhar",152,62
"Gajanan Jagirdar","Sajjan",64,63
"Gajanan Jagirdar","Iftekhar",152,63
"Sajjan","Iftekhar",152,64
"Amitabh Bachchan","Vinod Khanna",18,1
"Amitabh Bachchan","Saira Banu",65,1
"Amitabh Bachchan","Sulakshana Pandit",66,1
"Amitabh Bachchan","Shreeram Lagoo",67,1
"Amitabh Bachchan","Pinchoo Kapoor",68,1
"Amitabh Bachchan","P. Jairaj",69,1
"Amitabh Bachchan","Yunus Parvez",164,1
"Vinod Khanna","Saira Banu",65,18
"Vinod Khanna","Sulakshana Pandit",66,18
"Vinod Khanna","Shreeram Lagoo",67,18
"Vinod Khanna","Pinchoo Kapoor",68,18
"Vinod Khanna","P. Jairaj",69,18
"Vinod Khanna","Yunus Parvez",164,18
"Saira Banu","Sulakshana Pandit",66,65
"Saira Banu","Shreeram Lagoo",67,65
"Saira Banu","Pinchoo Kapoor",68,65
"Saira Banu","P. Jairaj",69,65
"Saira Banu","Yunus Parvez",164,65
"Sulakshana Pandit","Shreeram Lagoo",67,66
"Sulakshana Pandit","Pinchoo Kapoor",68,66
"Sulakshana Pandit","P. Jairaj",69,66
"Sulakshana Pandit","Yunus Parvez",164,66
"Shreeram Lagoo","Pinchoo Kapoor",68,67
"Shreeram Lagoo","P. Jairaj",69,67
"Shreeram Lagoo","Yunus Parvez",164,67
"Pinchoo Kapoor","P. Jairaj",69,68
"Pinchoo Kapoor","Yunus Parvez",164,68
"P. Jairaj","Yunus Parvez",164,69
"Amitabh Bachchan","Asha Parekh",70,1
"Amitabh Bachchan","Parveen Babi",21,1
"Amitabh Bachchan","Amjad Khan",71,1
"Amitabh Bachchan","Pran",62,1
"Amitabh Bachchan","K.N. Singh",72,1
"Amitabh Bachchan","Sajjan",64,1
"Amitabh Bachchan","Murad",73,1
"Amitabh Bachchan","Kader Khan",74,1
"Amitabh Bachchan","Jagdeep",165,1
"Asha Parekh","Parveen Babi",21,70
"Asha Parekh","Amjad Khan",71,70
"Asha Parekh","Pran",62,70
"Asha Parekh","K.N. Singh",72,70
"Asha Parekh","Sajjan",64,70
"Asha Parekh","Murad",73,70
"Asha Parekh","Kader Khan",74,70
"Asha Parekh","Jagdeep",165,70
"Parveen Babi","Amjad Khan",71,21
"Parveen Babi","Pran",62,21
"Parveen Babi","K.N. Singh",72,21
"Parveen Babi","Sajjan",64,21
"Parveen Babi","Murad",73,21
"Parveen Babi","Kader Khan",74,21
"Parveen Babi","Jagdeep",165,21
"Amjad Khan","Pran",62,71
"Amjad Khan","K.N. Singh",72,71
"Amjad Khan","Sajjan",64,71
"Amjad Khan","Murad",73,71
"Amjad Khan","Kader Khan",74,71
"Amjad Khan","Jagdeep",165,71
"Pran","K.N. Singh",72,62
"Pran","Sajjan",64,62
"Pran","Murad",73,62
"Pran","Kader Khan",74,62
"Pran","Jagdeep",165,62
"K.N. Singh","Sajjan",64,72
"K.N. Singh","Murad",73,72
"K.N. Singh","Kader Khan",74,72
"K.N. Singh","Jagdeep",165,72
"Sajjan","Murad",73,64
"Sajjan","Kader Khan",74,64
"Sajjan","Jagdeep",165,64
"Murad","Kader Khan",74,73
"Murad","Jagdeep",165,73
"Kader Khan","Jagdeep",165,74
"Amitabh Bachchan","Shah Rukh Khan",75,1
"Amitabh Bachchan","Abhishek Bachchan",76,1
"Amitabh Bachchan","Rani Mukerji",36,1
"Amitabh Bachchan","Preity Zinta",77,1
"Amitabh Bachchan","Kiron Kher",78,1
"Amitabh Bachchan","Arjun Rampal",125,1
"Shah Rukh Khan","Abhishek Bachchan",76,75
"Shah Rukh Khan","Rani Mukerji",36,75
"Shah Rukh Khan","Preity Zinta",77,75
"Shah Rukh Khan","Kiron Kher",78,75
"Shah Rukh Khan","Arjun Rampal",125,75
"Abhishek Bachchan","Rani Mukerji",36,76
"Abhishek Bachchan","Preity Zinta",77,76
"Abhishek Bachchan","Kiron Kher",78,76
"Abhishek Bachchan","Arjun Rampal",125,76
"Rani Mukerji","Preity Zinta",77,36
"Rani Mukerji","Kiron Kher",78,36
"Rani Mukerji","Arjun Rampal",125,36
"Preity Zinta","Kiron Kher",78,77
"Preity Zinta","Arjun Rampal",125,77
"Kiron Kher","Arjun Rampal",125,78
"Amitabh Bachchan","Jaya Bhaduri",52,1
"Amitabh Bachchan","Shah Rukh Khan",75,1
"Amitabh Bachchan","Kajol",79,1
"Amitabh Bachchan","Hrithik Roshan",80,1
"Amitabh Bachchan","Kareena Kapoor",81,1
"Amitabh Bachchan","Rani Mukerji",36,1
"Amitabh Bachchan","Farida Jalal",82,1
"Amitabh Bachchan","Himani Shivpuri",83,1
"Amitabh Bachchan","Alok Nath",14,1
"Jaya Bhaduri","Shah Rukh Khan",75,52
"Jaya Bhaduri","Kajol",79,52
"Jaya Bhaduri","Hrithik Roshan",80,52
"Jaya Bhaduri","Kareena Kapoor",81,52
"Jaya Bhaduri","Rani Mukerji",36,52
"Jaya Bhaduri","Farida Jalal",82,52
"Jaya Bhaduri","Himani Shivpuri",83,52
"Jaya Bhaduri","Alok Nath",14,52
"Shah Rukh Khan","Kajol",79,75
"Shah Rukh Khan","Hrithik Roshan",80,75
"Shah Rukh Khan","Kareena Kapoor",81,75
"Shah Rukh Khan","Rani Mukerji",36,75
"Shah Rukh Khan","Farida Jalal",82,75
"Shah Rukh Khan","Himani Shivpuri",83,75
"Shah Rukh Khan","Alok Nath",14,75
"Kajol","Hrithik Roshan",80,79
"Kajol","Kareena Kapoor",81,79
"Kajol","Rani Mukerji",36,79
"Kajol","Farida Jalal",82,79
"Kajol","Himani Shivpuri",83,79
"Kajol","Alok Nath",14,79
"Hrithik Roshan","Kareena Kapoor",81,80
"Hrithik Roshan","Rani Mukerji",36,80
"Hrithik Roshan","Farida Jalal",82,80
"Hrithik Roshan","Himani Shivpuri",83,80
"Hrithik Roshan","Alok Nath",14,80
"Kareena Kapoor","Rani Mukerji",36,81
"Kareena Kapoor","Farida Jalal",82,81
"Kareena Kapoor","Himani Shivpuri",83,81
"Kareena Kapoor","Alok Nath",14,81
"Rani Mukerji","Farida Jalal",82,36
"Rani Mukerji","Himani Shivpuri",83,36
"Rani Mukerji","Alok Nath",14,36
"Farida Jalal","Himani Shivpuri",83,82
"Farida Jalal","Alok Nath",14,82
"Himani Shivpuri","Alok Nath",14,83
"Fardeen Khan","Kareena Kapoor",81,84
"Fardeen Khan","Amrish Puri",60,84
"Fardeen Khan","Navin Nischol",85,84
"Fardeen Khan","Beena",86,84
"Fardeen Khan","Anup Soni",87,84
"Fardeen Khan","Johnny Lever",88,84
"Fardeen Khan","Sharat Saxena",89,84
"Fardeen Khan","Amitabh Bachchan",1,84
"Fardeen Khan","Sakshi Shivanand",166,84
"Kareena Kapoor","Amrish Puri",60,81
"Kareena Kapoor","Navin Nischol",85,81
"Kareena Kapoor","Beena",86,81
"Kareena Kapoor","Anup Soni",87,81
"Kareena Kapoor","Johnny Lever",88,81
"Kareena Kapoor","Sharat Saxena",89,81
"Kareena Kapoor","Amitabh Bachchan",1,81
"Kareena Kapoor","Sakshi Shivanand",166,81
"Amrish Puri","Navin Nischol",85,60
"Amrish Puri","Beena",86,60
"Amrish Puri","Anup Soni",87,60
"Amrish Puri","Johnny Lever",88,60
"Amrish Puri","Sharat Saxena",89,60
"Amrish Puri","Amitabh Bachchan",1,60
"Amrish Puri","Sakshi Shivanand",166,60
"Navin Nischol","Beena",86,85
"Navin Nischol","Anup Soni",87,85
"Navin Nischol","Johnny Lever",88,85
"Navin Nischol","Sharat Saxena",89,85
"Navin Nischol","Amitabh Bachchan",1,85
"Navin Nischol","Sakshi Shivanand",166,85
"Beena","Anup Soni",87,86
"Beena","Johnny Lever",88,86
"Beena","Sharat Saxena",89,86
"Beena","Amitabh Bachchan",1,86
"Beena","Sakshi Shivanand",166,86
"Anup Soni","Johnny Lever",88,87
"Anup Soni","Sharat Saxena",89,87
"Anup Soni","Amitabh Bachchan",1,87
"Anup Soni","Sakshi Shivanand",166,87
"Johnny Lever","Sharat Saxena",89,88
"Johnny Lever","Amitabh Bachchan",1,88
"Johnny Lever","Sakshi Shivanand",166,88
"Sharat Saxena","Amitabh Bachchan",1,89
"Sharat Saxena","Sakshi Shivanand",166,89
"Amitabh Bachchan","Sakshi Shivanand",166,1
"Aishwarya Rai Bachchan","Vivek Oberoi",91,90
"Aishwarya Rai Bachchan","Amitabh Bachchan",1,90
"Aishwarya Rai Bachchan","Om Puri",92,90
"Aishwarya Rai Bachchan","Rati Agnihotri",93,90
"Aishwarya Rai Bachchan","Sunil Shetty",94,90
"Aishwarya Rai Bachchan","Tinnu Anand",16,90
"Aishwarya Rai Bachchan","Rahul Singh",167,90
"Vivek Oberoi","Amitabh Bachchan",1,91
"Vivek Oberoi","Om Puri",92,91
"Vivek Oberoi","Rati Agnihotri",93,91
"Vivek Oberoi","Sunil Shetty",94,91
"Vivek Oberoi","Tinnu Anand",16,91
"Vivek Oberoi","Rahul Singh",167,91
"Amitabh Bachchan","Om Puri",92,1
"Amitabh Bachchan","Rati Agnihotri",93,1
"Amitabh Bachchan","Sunil Shetty",94,1
"Amitabh Bachchan","Tinnu Anand",16,1
"Amitabh Bachchan","Rahul Singh",167,1
"Om Puri","Rati Agnihotri",93,92
"Om Puri","Sunil Shetty",94,92
"Om Puri","Tinnu Anand",16,92
"Om Puri","Rahul Singh",167,92
"Rati Agnihotri","Sunil Shetty",94,93
"Rati Agnihotri","Tinnu Anand",16,93
"Rati Agnihotri","Rahul Singh",167,93
"Sunil Shetty","Tinnu Anand",16,94
"Sunil Shetty","Rahul Singh",167,94
"Tinnu Anand","Rahul Singh",167,16
"Amitabh Bachchan","Hrithik Roshan",80,1
"Amitabh Bachchan","Preity Zinta",77,1
"Amitabh Bachchan","Om Puri",92,1
"Amitabh Bachchan","Sharad Kapoor",95,1
"Amitabh Bachchan","Rajendranath Zutshi",96,1
"Amitabh Bachchan","Sushant Singh",97,1
"Amitabh Bachchan","Prashant Chainani",98,1
"Amitabh Bachchan","Shakeel Khan",99,1
"Amitabh Bachchan","Ranvir Shorey",41,1
"Hrithik Roshan","Preity Zinta",77,80
"Hrithik Roshan","Om Puri",92,80
"Hrithik Roshan","Sharad Kapoor",95,80
"Hrithik Roshan","Rajendranath Zutshi",96,80
"Hrithik Roshan","Sushant Singh",97,80
"Hrithik Roshan","Prashant Chainani",98,80
"Hrithik Roshan","Shakeel Khan",99,80
"Hrithik Roshan","Ranvir Shorey",41,80
"Preity Zinta","Om Puri",92,77
"Preity Zinta","Sharad Kapoor",95,77
"Preity Zinta","Rajendranath Zutshi",96,77
"Preity Zinta","Sushant Singh",97,77
"Preity Zinta","Prashant Chainani",98,77
"Preity Zinta","Shakeel Khan",99,77
"Preity Zinta","Ranvir Shorey",41,77
"Om Puri","Sharad Kapoor",95,92
"Om Puri","Rajendranath Zutshi",96,92
"Om Puri","Sushant Singh",97,92
"Om Puri","Prashant Chainani",98,92
"Om Puri","Shakeel Khan",99,92
"Om Puri","Ranvir Shorey",41,92
"Sharad Kapoor","Rajendranath Zutshi",96,95
"Sharad Kapoor","Sushant Singh",97,95
"Sharad Kapoor","Prashant Chainani",98,95
"Sharad Kapoor","Shakeel Khan",99,95
"Sharad Kapoor","Ranvir Shorey",41,95
"Rajendranath Zutshi","Sushant Singh",97,96
"Rajendranath Zutshi","Prashant Chainani",98,96
"Rajendranath Zutshi","Shakeel Khan",99,96
"Rajendranath Zutshi","Ranvir Shorey",41,96
"Sushant Singh","Prashant Chainani",98,97
"Sushant Singh","Shakeel Khan",99,97
"Sushant Singh","Ranvir Shorey",41,97
"Prashant Chainani","Shakeel Khan",99,98
"Prashant Chainani","Ranvir Shorey",41,98
