"from","to","target","source"
"Sridevi","Anupam Kher",7,64
"Sridevi","Rahul Roy",65,64
"Sridevi","Soni Razdan",66,64
"Sridevi","Reema Lagoo",67,64
"Sridevi","Kunika",68,64
"Sridevi","Tom Alter",69,64
"Sridevi","Bob Christo",70,64
"Sridevi","Anang Desai",255,64
"Anupam Kher","Rahul Roy",65,7
"Anupam Kher","Soni Razdan",66,7
"Anupam Kher","Reema Lagoo",67,7
"Anupam Kher","Kunika",68,7
"Anupam Kher","Tom Alter",69,7
"Anupam Kher","Bob Christo",70,7
"Anupam Kher","Anang Desai",255,7
"Rahul Roy","Soni Razdan",66,65
"Rahul Roy","Reema Lagoo",67,65
"Rahul Roy","Kunika",68,65
"Rahul Roy","Tom Alter",69,65
"Rahul Roy","Bob Christo",70,65
"Rahul Roy","Anang Desai",255,65
"Soni Razdan","Reema Lagoo",67,66
"Soni Razdan","Kunika",68,66
"Soni Razdan","Tom Alter",69,66
"Soni Razdan","Bob Christo",70,66
"Soni Razdan","Anang Desai",255,66
"Reema Lagoo","Kunika",68,67
"Reema Lagoo","Tom Alter",69,67
"Reema Lagoo","Bob Christo",70,67
"Reema Lagoo","Anang Desai",255,67
"Kunika","Tom Alter",69,68
"Kunika","Bob Christo",70,68
"Kunika","Anang Desai",255,68
"Tom Alter","Bob Christo",70,69
"Tom Alter","Anang Desai",255,69
"Bob Christo","Anang Desai",255,70
"Anil Kapoor","Aishwarya Rai Bachchan",72,71
"Anil Kapoor","Sonali Bendre",73,71
"Anil Kapoor","Puru Rajkumar",74,71
"Anil Kapoor","Anupam Kher",7,71
"Anil Kapoor","Satish Kaushik",75,71
"Anil Kapoor","Mukesh Rishi",76,71
"Anil Kapoor","Jaspal Bhatti",77,71
"Anil Kapoor","Razak Khan",78,71
"Anil Kapoor","Himani Shivpuri",79,71
"Anil Kapoor","Smita Jaykar",80,71
"Anil Kapoor","Tanaaz Currim Irani",256,71
"Aishwarya Rai Bachchan","Sonali Bendre",73,72
"Aishwarya Rai Bachchan","Puru Rajkumar",74,72
"Aishwarya Rai Bachchan","Anupam Kher",7,72
"Aishwarya Rai Bachchan","Satish Kaushik",75,72
"Aishwarya Rai Bachchan","Mukesh Rishi",76,72
"Aishwarya Rai Bachchan","Jaspal Bhatti",77,72
"Aishwarya Rai Bachchan","Razak Khan",78,72
"Aishwarya Rai Bachchan","Himani Shivpuri",79,72
"Aishwarya Rai Bachchan","Smita Jaykar",80,72
"Aishwarya Rai Bachchan","Tanaaz Currim Irani",256,72
"Sonali Bendre","Puru Rajkumar",74,73
"Sonali Bendre","Anupam Kher",7,73
"Sonali Bendre","Satish Kaushik",75,73
"Sonali Bendre","Mukesh Rishi",76,73
"Sonali Bendre","Jaspal Bhatti",77,73
"Sonali Bendre","Razak Khan",78,73
"Sonali Bendre","Himani Shivpuri",79,73
"Sonali Bendre","Smita Jaykar",80,73
"Sonali Bendre","Tanaaz Currim Irani",256,73
"Puru Rajkumar","Anupam Kher",7,74
"Puru Rajkumar","Satish Kaushik",75,74
"Puru Rajkumar","Mukesh Rishi",76,74
"Puru Rajkumar","Jaspal Bhatti",77,74
"Puru Rajkumar","Razak Khan",78,74
"Puru Rajkumar","Himani Shivpuri",79,74
"Puru Rajkumar","Smita Jaykar",80,74
"Puru Rajkumar","Tanaaz Currim Irani",256,74
"Anupam Kher","Satish Kaushik",75,7
"Anupam Kher","Mukesh Rishi",76,7
"Anupam Kher","Jaspal Bhatti",77,7
"Anupam Kher","Razak Khan",78,7
"Anupam Kher","Himani Shivpuri",79,7
"Anupam Kher","Smita Jaykar",80,7
"Anupam Kher","Tanaaz Currim Irani",256,7
"Satish Kaushik","Mukesh Rishi",76,75
"Satish Kaushik","Jaspal Bhatti",77,75
"Satish Kaushik","Razak Khan",78,75
"Satish Kaushik","Himani Shivpuri",79,75
"Satish Kaushik","Smita Jaykar",80,75
"Satish Kaushik","Tanaaz Currim Irani",256,75
"Mukesh Rishi","Jaspal Bhatti",77,76
"Mukesh Rishi","Razak Khan",78,76
"Mukesh Rishi","Himani Shivpuri",79,76
"Mukesh Rishi","Smita Jaykar",80,76
"Mukesh Rishi","Tanaaz Currim Irani",256,76
"Jaspal Bhatti","Razak Khan",78,77
"Jaspal Bhatti","Himani Shivpuri",79,77
"Jaspal Bhatti","Smita Jaykar",80,77
"Jaspal Bhatti","Tanaaz Currim Irani",256,77
"Razak Khan","Himani Shivpuri",79,78
"Razak Khan","Smita Jaykar",80,78
"Razak Khan","Tanaaz Currim Irani",256,78
"Himani Shivpuri","Smita Jaykar",80,79
"Himani Shivpuri","Tanaaz Currim Irani",256,79
"Smita Jaykar","Tanaaz Currim Irani",256,80
"Sanjay Dutt","Govinda",81,63
"Sanjay Dutt","Karisma Kapoor",82,63
"Sanjay Dutt","Pooja Batra",83,63
"Sanjay Dutt","Kader Khan",84,63
"Sanjay Dutt","Paresh Rawal",85,63
"Sanjay Dutt","Satish Kaushik",75,63
"Sanjay Dutt","Aruna Irani",86,63
