"from","to","target","source"
"Ashish Vidyarthi","Razak Khan",46,71
"Ashish Vidyarthi","Shakti Kapoor",73,71
"Ashish Vidyarthi","Bindu",74,71
"Ashish Vidyarthi","Mahavir Shah",75,71
"Ashish Vidyarthi","Mohan Joshi",56,71
"Ashish Vidyarthi","Anil Dhawan",164,71
"Aashif Sheikh","Asrani",19,72
"Aashif Sheikh","Razak Khan",46,72
"Aashif Sheikh","Shakti Kapoor",73,72
"Aashif Sheikh","Bindu",74,72
"Aashif Sheikh","Mahavir Shah",75,72
"Aashif Sheikh","Mohan Joshi",56,72
"Aashif Sheikh","Anil Dhawan",164,72
"Asrani","Razak Khan",46,19
"Asrani","Shakti Kapoor",73,19
"Asrani","Bindu",74,19
"Asrani","Mahavir Shah",75,19
"Asrani","Mohan Joshi",56,19
"Asrani","Anil Dhawan",164,19
"Razak Khan","Shakti Kapoor",73,46
"Razak Khan","Bindu",74,46
"Razak Khan","Mahavir Shah",75,46
"Razak Khan","Mohan Joshi",56,46
"Razak Khan","Anil Dhawan",164,46
"Shakti Kapoor","Bindu",74,73
"Shakti Kapoor","Mahavir Shah",75,73
"Shakti Kapoor","Mohan Joshi",56,73
"Shakti Kapoor","Anil Dhawan",164,73
"Bindu","Mahavir Shah",75,74
"Bindu","Mohan Joshi",56,74
"Bindu","Anil Dhawan",164,74
"Mahavir Shah","Mohan Joshi",56,75
"Mahavir Shah","Anil Dhawan",164,75
"Mohan Joshi","Anil Dhawan",164,56
"Nana Patekar","Paresh Rawal",5,54
"Nana Patekar","Kunal Kapoor",76,54
"Nana Patekar","Rimi Sen",64,54
"Nana Patekar","Danny Denzongpa",77,54
"Nana Patekar","Prateeksha Lonkar",78,54
"Nana Patekar","Gautam Bhimani",79,54
"Nana Patekar","Harsha Bhogle",165,54
"Paresh Rawal","Kunal Kapoor",76,5
"Paresh Rawal","Rimi Sen",64,5
"Paresh Rawal","Danny Denzongpa",77,5
"Paresh Rawal","Prateeksha Lonkar",78,5
"Paresh Rawal","Gautam Bhimani",79,5
"Paresh Rawal","Harsha Bhogle",165,5
"Kunal Kapoor","Rimi Sen",64,76
"Kunal Kapoor","Danny Denzongpa",77,76
"Kunal Kapoor","Prateeksha Lonkar",78,76
"Kunal Kapoor","Gautam Bhimani",79,76
"Kunal Kapoor","Harsha Bhogle",165,76
"Rimi Sen","Danny Denzongpa",77,64
"Rimi Sen","Prateeksha Lonkar",78,64
"Rimi Sen","Gautam Bhimani",79,64
"Rimi Sen","Harsha Bhogle",165,64
"Danny Denzongpa","Prateeksha Lonkar",78,77
"Danny Denzongpa","Gautam Bhimani",79,77
"Danny Denzongpa","Harsha Bhogle",165,77
"Prateeksha Lonkar","Gautam Bhimani",79,78
"Prateeksha Lonkar","Harsha Bhogle",165,78
"Gautam Bhimani","Harsha Bhogle",165,79
"Ajay Devgn","Tamannaah Bhatia",80,61
"Ajay Devgn","Paresh Rawal",5,61
"Ajay Devgn","Zarina Wahab",81,61
"Ajay Devgn","Mahesh Manjrekar",108,61
"Tamannaah Bhatia","Paresh Rawal",5,80
"Tamannaah Bhatia","Zarina Wahab",81,80
"Tamannaah Bhatia","Mahesh Manjrekar",108,80
"Paresh Rawal","Zarina Wahab",81,5
"Paresh Rawal","Mahesh Manjrekar",108,5
"Zarina Wahab","Mahesh Manjrekar",108,81
"Rajkummar Rao","Boman Irani",48,82
"Rajkummar Rao","Mouni Roy",83,82
"Rajkummar Rao","Sumeet Vyas",84,82
"Rajkummar Rao","Paresh Rawal",5,82
"Rajkummar Rao","Gajraj Rao",85,82
"Rajkummar Rao","Manoj Joshi",23,82
"Rajkummar Rao","Sanjay Goradia",86,82
"Rajkummar Rao","Amyra Dastur",87,82
"Rajkummar Rao","Chittaranjan Tripathi",88,82
"Rajkummar Rao","Abhishek Banerjee",166,82
"Boman Irani","Mouni Roy",83,48
"Boman Irani","Sumeet Vyas",84,48
"Boman Irani","Paresh Rawal",5,48
"Boman Irani","Gajraj Rao",85,48
"Boman Irani","Manoj Joshi",23,48
"Boman Irani","Sanjay Goradia",86,48
"Boman Irani","Amyra Dastur",87,48
"Boman Irani","Chittaranjan Tripathi",88,48
"Boman Irani","Abhishek Banerjee",166,48
"Mouni Roy","Sumeet Vyas",84,83
"Mouni Roy","Paresh Rawal",5,83
"Mouni Roy","Gajraj Rao",85,83
"Mouni Roy","Manoj Joshi",23,83
"Mouni Roy","Sanjay Goradia",86,83
"Mouni Roy","Amyra Dastur",87,83
"Mouni Roy","Chittaranjan Tripathi",88,83
"Mouni Roy","Abhishek Banerjee",166,83
"Sumeet Vyas","Paresh Rawal",5,84
"Sumeet Vyas","Gajraj Rao",85,84
"Sumeet Vyas","Manoj Joshi",23,84
"Sumeet Vyas","Sanjay Goradia",86,84
"Sumeet Vyas","Amyra Dastur",87,84
"Sumeet Vyas","Chittaranjan Tripathi",88,84
"Sumeet Vyas","Abhishek Banerjee",166,84
"Paresh Rawal","Gajraj Rao",85,5
"Paresh Rawal","Manoj Joshi",23,5
"Paresh Rawal","Sanjay Goradia",86,5
"Paresh Rawal","Amyra Dastur",87,5
"Paresh Rawal","Chittaranjan Tripathi",88,5
"Paresh Rawal","Abhishek Banerjee",166,5
