"from","to","target","source"
"Varun Dhawan","Shawar Ali",195,57
"Boman Irani","Johnny Lever",59,58
"Boman Irani","Varun Sharma",60,58
"Boman Irani","Sanjay Mishra",61,58
"Boman Irani","Vinod Khanna",62,58
"Boman Irani","Mukesh Tiwari",63,58
"Boman Irani","Pankaj Tripathi",64,58
"Boman Irani","Shawar Ali",195,58
"Johnny Lever","Varun Sharma",60,59
"Johnny Lever","Sanjay Mishra",61,59
"Johnny Lever","Vinod Khanna",62,59
"Johnny Lever","Mukesh Tiwari",63,59
"Johnny Lever","Pankaj Tripathi",64,59
"Johnny Lever","Shawar Ali",195,59
"Varun Sharma","Sanjay Mishra",61,60
"Varun Sharma","Vinod Khanna",62,60
"Varun Sharma","Mukesh Tiwari",63,60
"Varun Sharma","Pankaj Tripathi",64,60
"Varun Sharma","Shawar Ali",195,60
"Sanjay Mishra","Vinod Khanna",62,61
"Sanjay Mishra","Mukesh Tiwari",63,61
"Sanjay Mishra","Pankaj Tripathi",64,61
"Sanjay Mishra","Shawar Ali",195,61
"Vinod Khanna","Mukesh Tiwari",63,62
"Vinod Khanna","Pankaj Tripathi",64,62
"Vinod Khanna","Shawar Ali",195,62
"Mukesh Tiwari","Pankaj Tripathi",64,63
"Mukesh Tiwari","Shawar Ali",195,63
"Pankaj Tripathi","Shawar Ali",195,64
"Shah Rukh Khan","Priyanka Chopra",65,1
"Shah Rukh Khan","Arjun Rampal",66,1
"Shah Rukh Khan","Isha Koppikar",67,1
"Shah Rukh Khan","Kareena Kapoor",2,1
"Shah Rukh Khan","Boman Irani",58,1
"Shah Rukh Khan","Om Puri",12,1
"Shah Rukh Khan","Pavan Malhotra",145,1
"Priyanka Chopra","Arjun Rampal",66,65
"Priyanka Chopra","Isha Koppikar",67,65
"Priyanka Chopra","Kareena Kapoor",2,65
"Priyanka Chopra","Boman Irani",58,65
"Priyanka Chopra","Om Puri",12,65
"Priyanka Chopra","Pavan Malhotra",145,65
"Arjun Rampal","Isha Koppikar",67,66
"Arjun Rampal","Kareena Kapoor",2,66
"Arjun Rampal","Boman Irani",58,66
"Arjun Rampal","Om Puri",12,66
"Arjun Rampal","Pavan Malhotra",145,66
"Isha Koppikar","Kareena Kapoor",2,67
"Isha Koppikar","Boman Irani",58,67
"Isha Koppikar","Om Puri",12,67
"Isha Koppikar","Pavan Malhotra",145,67
"Kareena Kapoor","Boman Irani",58,2
"Kareena Kapoor","Om Puri",12,2
"Kareena Kapoor","Pavan Malhotra",145,2
"Boman Irani","Om Puri",12,58
"Boman Irani","Pavan Malhotra",145,58
"Om Puri","Pavan Malhotra",145,12
"Shah Rukh Khan","Priyanka Chopra",65,1
"Shah Rukh Khan","Boman Irani",58,1
"Shah Rukh Khan","Lara Dutta",10,1
"Shah Rukh Khan","Kunal Kapoor",44,1
"Shah Rukh Khan","Om Puri",12,1
"Shah Rukh Khan","Alyy Khan",68,1
"Shah Rukh Khan","Nawab Shah",196,1
"Priyanka Chopra","Boman Irani",58,65
"Priyanka Chopra","Lara Dutta",10,65
"Priyanka Chopra","Kunal Kapoor",44,65
"Priyanka Chopra","Om Puri",12,65
"Priyanka Chopra","Alyy Khan",68,65
"Priyanka Chopra","Nawab Shah",196,65
"Boman Irani","Lara Dutta",10,58
"Boman Irani","Kunal Kapoor",44,58
"Boman Irani","Om Puri",12,58
"Boman Irani","Alyy Khan",68,58
"Boman Irani","Nawab Shah",196,58
"Lara Dutta","Kunal Kapoor",44,10
"Lara Dutta","Om Puri",12,10
"Lara Dutta","Alyy Khan",68,10
"Lara Dutta","Nawab Shah",196,10
"Kunal Kapoor","Om Puri",12,44
"Kunal Kapoor","Alyy Khan",68,44
"Kunal Kapoor","Nawab Shah",196,44
"Om Puri","Alyy Khan",68,12
"Om Puri","Nawab Shah",196,12
"Alyy Khan","Nawab Shah",196,68
"Shah Rukh Khan","Juhi Chawla",69,1
"Shah Rukh Khan","Sonali Bendre",70,1
"Shah Rukh Khan","Farida Jalal",71,1
"Shah Rukh Khan","Mohnish Bahl",72,1
"Shah Rukh Khan","Tiku Talsania",73,1
"Shah Rukh Khan","Gulshan Grover",74,1
"Shah Rukh Khan","Sharat Saxena",197,1
"Juhi Chawla","Sonali Bendre",70,69
"Juhi Chawla","Farida Jalal",71,69
"Juhi Chawla","Mohnish Bahl",72,69
"Juhi Chawla","Tiku Talsania",73,69
"Juhi Chawla","Gulshan Grover",74,69
"Juhi Chawla","Sharat Saxena",197,69
"Sonali Bendre","Farida Jalal",71,70
"Sonali Bendre","Mohnish Bahl",72,70
"Sonali Bendre","Tiku Talsania",73,70
"Sonali Bendre","Gulshan Grover",74,70
"Sonali Bendre","Sharat Saxena",197,70
"Farida Jalal","Mohnish Bahl",72,71
"Farida Jalal","Tiku Talsania",73,71
"Farida Jalal","Gulshan Grover",74,71
"Farida Jalal","Sharat Saxena",197,71
"Mohnish Bahl","Tiku Talsania",73,72
"Mohnish Bahl","Gulshan Grover",74,72
"Mohnish Bahl","Sharat Saxena",197,72
"Tiku Talsania","Gulshan Grover",74,73
"Tiku Talsania","Sharat Saxena",197,73
"Gulshan Grover","Sharat Saxena",197,74
"Shah Rukh Khan","Sonali Bendre",70,1
"Shah Rukh Khan","Rajeshwari",75,1
"Shah Rukh Khan","Saeed Jaffrey",76,1
"Shah Rukh Khan","Kiran Kumar",77,1
"Shah Rukh Khan","Baba Brahmbhatt",78,1
"Shah Rukh Khan","Ishita Haria",79,1
"Shah Rukh Khan","Sunny Singh",80,1
"Shah Rukh Khan","Gulshan Bawra",198,1
"Sonali Bendre","Rajeshwari",75,70
"Sonali Bendre","Saeed Jaffrey",76,70
"Sonali Bendre","Kiran Kumar",77,70
"Sonali Bendre","Baba Brahmbhatt",78,70
"Sonali Bendre","Ishita Haria",79,70
"Sonali Bendre","Sunny Singh",80,70
"Sonali Bendre","Gulshan Bawra",198,70
"Rajeshwari","Saeed Jaffrey",76,75
"Rajeshwari","Kiran Kumar",77,75
"Rajeshwari","Baba Brahmbhatt",78,75
"Rajeshwari","Ishita Haria",79,75
"Rajeshwari","Sunny Singh",80,75
"Rajeshwari","Gulshan Bawra",198,75
"Saeed Jaffrey","Kiran Kumar",77,76
"Saeed Jaffrey","Baba Brahmbhatt",78,76
"Saeed Jaffrey","Ishita Haria",79,76
"Saeed Jaffrey","Sunny Singh",80,76
"Saeed Jaffrey","Gulshan Bawra",198,76
"Kiran Kumar","Baba Brahmbhatt",78,77
"Kiran Kumar","Ishita Haria",79,77
"Kiran Kumar","Sunny Singh",80,77
"Kiran Kumar","Gulshan Bawra",198,77
"Baba Brahmbhatt","Ishita Haria",79,78
"Baba Brahmbhatt","Sunny Singh",80,78
"Baba Brahmbhatt","Gulshan Bawra",198,78
"Ishita Haria","Sunny Singh",80,79
"Ishita Haria","Gulshan Bawra",198,79
"Sunny Singh","Gulshan Bawra",198,80
"Shah Rukh Khan","Deepika Padukone",32,1
"Shah Rukh Khan","Abhishek Bachchan",81,1
"Shah Rukh Khan","Sonu Sood",82,1
"Shah Rukh Khan","Boman Irani",58,1
"Shah Rukh Khan","Vivaan Shah",199,1
"Deepika Padukone","Abhishek Bachchan",81,32
"Deepika Padukone","Sonu Sood",82,32
"Deepika Padukone","Boman Irani",58,32
"Deepika Padukone","Vivaan Shah",199,32
"Abhishek Bachchan","Sonu Sood",82,81
"Abhishek Bachchan","Boman Irani",58,81
"Abhishek Bachchan","Vivaan Shah",199,81
"Sonu Sood","Boman Irani",58,82
"Sonu Sood","Vivaan Shah",199,82
"Boman Irani","Vivaan Shah",199,58
"Shah Rukh Khan","Anushka Sharma",83,1
"Shah Rukh Khan","Aru Krishansh Verma",84,1
"Shah Rukh Khan","Chandan Roy Sanyal",85,1
"Shah Rukh Khan","Evelyn Sharma",86,1
"Shah Rukh Khan","Kavi Shastri",87,1
