"from","to","target","source"
"Om Puri","Dinesh Anand",93,3
"Om Puri","Mink Singh",94,3
"Om Puri","Siddharth",107,3
"Jackie Shroff","Mita Vashisht",90,89
"Jackie Shroff","Sachin Khedekar",91,89
"Jackie Shroff","Anjan Srivastav",92,89
"Jackie Shroff","Dinesh Anand",93,89
"Jackie Shroff","Mink Singh",94,89
"Jackie Shroff","Siddharth",107,89
"Mita Vashisht","Sachin Khedekar",91,90
"Mita Vashisht","Anjan Srivastav",92,90
"Mita Vashisht","Dinesh Anand",93,90
"Mita Vashisht","Mink Singh",94,90
"Mita Vashisht","Siddharth",107,90
"Sachin Khedekar","Anjan Srivastav",92,91
"Sachin Khedekar","Dinesh Anand",93,91
"Sachin Khedekar","Mink Singh",94,91
"Sachin Khedekar","Siddharth",107,91
"Anjan Srivastav","Dinesh Anand",93,92
"Anjan Srivastav","Mink Singh",94,92
"Anjan Srivastav","Siddharth",107,92
"Dinesh Anand","Mink Singh",94,93
"Dinesh Anand","Siddharth",107,93
"Mink Singh","Siddharth",107,94
"Om Puri","Seema Biswas",95,3
"Om Puri","Kunal Sheth",96,3
"Om Puri","Rahul Patel",97,3
"Om Puri","Katarina Kajkus",98,3
"Om Puri","Farrah Kader",99,3
"Om Puri","Govind Namdeo",100,3
"Om Puri","Dalip Tahil",178,3
"Seema Biswas","Kunal Sheth",96,95
"Seema Biswas","Rahul Patel",97,95
"Seema Biswas","Katarina Kajkus",98,95
"Seema Biswas","Farrah Kader",99,95
"Seema Biswas","Govind Namdeo",100,95
"Seema Biswas","Dalip Tahil",178,95
"Kunal Sheth","Rahul Patel",97,96
"Kunal Sheth","Katarina Kajkus",98,96
"Kunal Sheth","Farrah Kader",99,96
"Kunal Sheth","Govind Namdeo",100,96
"Kunal Sheth","Dalip Tahil",178,96
"Rahul Patel","Katarina Kajkus",98,97
"Rahul Patel","Farrah Kader",99,97
"Rahul Patel","Govind Namdeo",100,97
"Rahul Patel","Dalip Tahil",178,97
"Katarina Kajkus","Farrah Kader",99,98
"Katarina Kajkus","Govind Namdeo",100,98
"Katarina Kajkus","Dalip Tahil",178,98
"Farrah Kader","Govind Namdeo",100,99
"Farrah Kader","Dalip Tahil",178,99
"Govind Namdeo","Dalip Tahil",178,100
"Anil Kapoor","Madhuri Dixit",102,101
"Anil Kapoor","Namrata Shirodkar",103,101
"Anil Kapoor","Danny Denzongpa",104,101
"Anil Kapoor","Om Puri",3,101
