"from","to","target","source"
"Akshay Kumar","Shruti Bapna",173,1
"Shruti Haasan","Sunil Grover",48,47
"Shruti Haasan","Kareena Kapoor",10,47
"Shruti Haasan","Ishita Vyas",49,47
"Shruti Haasan","Suman Talwar",50,47
"Shruti Haasan","Jaideep Ahlawat",51,47
"Shruti Haasan","Shruti Bapna",173,47
"Sunil Grover","Kareena Kapoor",10,48
"Sunil Grover","Ishita Vyas",49,48
"Sunil Grover","Suman Talwar",50,48
"Sunil Grover","Jaideep Ahlawat",51,48
"Sunil Grover","Shruti Bapna",173,48
"Kareena Kapoor","Ishita Vyas",49,10
"Kareena Kapoor","Suman Talwar",50,10
"Kareena Kapoor","Jaideep Ahlawat",51,10
"Kareena Kapoor","Shruti Bapna",173,10
"Ishita Vyas","Suman Talwar",50,49
"Ishita Vyas","Jaideep Ahlawat",51,49
"Ishita Vyas","Shruti Bapna",173,49
"Suman Talwar","Jaideep Ahlawat",51,50
"Suman Talwar","Shruti Bapna",173,50
"Jaideep Ahlawat","Shruti Bapna",173,51
"Akshay Kumar","Katrina Kaif",52,1
"Akshay Kumar","Bipasha Basu",53,1
"Akshay Kumar","Bhagyashree",54,1
"Akshay Kumar","Shernaz Patel",55,1
"Akshay Kumar","Vivek Shaq",56,1
"Akshay Kumar","Mahesh Thakur",57,1
"Akshay Kumar","Ranjeet",58,1
"Akshay Kumar","Nina Kulkarni",59,1
"Akshay Kumar","Puneet Issar",60,1
"Akshay Kumar","Anju Mahendru",61,1
"Akshay Kumar","Manoj Joshi",32,1
"Akshay Kumar","Anil Kapoor",14,1
"Katrina Kaif","Bipasha Basu",53,52
"Katrina Kaif","Bhagyashree",54,52
"Katrina Kaif","Shernaz Patel",55,52
"Katrina Kaif","Vivek Shaq",56,52
"Katrina Kaif","Mahesh Thakur",57,52
"Katrina Kaif","Ranjeet",58,52
"Katrina Kaif","Nina Kulkarni",59,52
"Katrina Kaif","Puneet Issar",60,52
"Katrina Kaif","Anju Mahendru",61,52
"Katrina Kaif","Manoj Joshi",32,52
"Katrina Kaif","Anil Kapoor",14,52
"Bipasha Basu","Bhagyashree",54,53
"Bipasha Basu","Shernaz Patel",55,53
"Bipasha Basu","Vivek Shaq",56,53
"Bipasha Basu","Mahesh Thakur",57,53
"Bipasha Basu","Ranjeet",58,53
"Bipasha Basu","Nina Kulkarni",59,53
"Bipasha Basu","Puneet Issar",60,53
"Bipasha Basu","Anju Mahendru",61,53
"Bipasha Basu","Manoj Joshi",32,53
"Bipasha Basu","Anil Kapoor",14,53
"Bhagyashree","Shernaz Patel",55,54
"Bhagyashree","Vivek Shaq",56,54
"Bhagyashree","Mahesh Thakur",57,54
"Bhagyashree","Ranjeet",58,54
"Bhagyashree","Nina Kulkarni",59,54
"Bhagyashree","Puneet Issar",60,54
"Bhagyashree","Anju Mahendru",61,54
"Bhagyashree","Manoj Joshi",32,54
"Bhagyashree","Anil Kapoor",14,54
"Shernaz Patel","Vivek Shaq",56,55
"Shernaz Patel","Mahesh Thakur",57,55
"Shernaz Patel","Ranjeet",58,55
"Shernaz Patel","Nina Kulkarni",59,55
"Shernaz Patel","Puneet Issar",60,55
"Shernaz Patel","Anju Mahendru",61,55
"Shernaz Patel","Manoj Joshi",32,55
"Shernaz Patel","Anil Kapoor",14,55
"Vivek Shaq","Mahesh Thakur",57,56
"Vivek Shaq","Ranjeet",58,56
"Vivek Shaq","Nina Kulkarni",59,56
"Vivek Shaq","Puneet Issar",60,56
"Vivek Shaq","Anju Mahendru",61,56
"Vivek Shaq","Manoj Joshi",32,56
"Vivek Shaq","Anil Kapoor",14,56
"Mahesh Thakur","Ranjeet",58,57
"Mahesh Thakur","Nina Kulkarni",59,57
"Mahesh Thakur","Puneet Issar",60,57
"Mahesh Thakur","Anju Mahendru",61,57
"Mahesh Thakur","Manoj Joshi",32,57
"Mahesh Thakur","Anil Kapoor",14,57
"Ranjeet","Nina Kulkarni",59,58
"Ranjeet","Puneet Issar",60,58
"Ranjeet","Anju Mahendru",61,58
"Ranjeet","Manoj Joshi",32,58
"Ranjeet","Anil Kapoor",14,58
"Nina Kulkarni","Puneet Issar",60,59
"Nina Kulkarni","Anju Mahendru",61,59
"Nina Kulkarni","Manoj Joshi",32,59
"Nina Kulkarni","Anil Kapoor",14,59
"Puneet Issar","Anju Mahendru",61,60
"Puneet Issar","Manoj Joshi",32,60
"Puneet Issar","Anil Kapoor",14,60
"Anju Mahendru","Manoj Joshi",32,61
"Anju Mahendru","Anil Kapoor",14,61
"Manoj Joshi","Anil Kapoor",14,32
"Akshay Kumar","Ajay Devgn",62,1
"Akshay Kumar","Tusshar Kapoor",63,1
"Akshay Kumar","Esha Deol",64,1
"Akshay Kumar","Lara Dutta",23,1
"Akshay Kumar","Laila",65,1
"Akshay Kumar","Rahul Dev",66,1
"Akshay Kumar","Koena Mitra",67,1
"Akshay Kumar","Archana Puran Singh",68,1
"Akshay Kumar","Sharat Saxena",121,1
"Ajay Devgn","Tusshar Kapoor",63,62
"Ajay Devgn","Esha Deol",64,62
"Ajay Devgn","Lara Dutta",23,62
"Ajay Devgn","Laila",65,62
"Ajay Devgn","Rahul Dev",66,62
"Ajay Devgn","Koena Mitra",67,62
"Ajay Devgn","Archana Puran Singh",68,62
"Ajay Devgn","Sharat Saxena",121,62
"Tusshar Kapoor","Esha Deol",64,63
"Tusshar Kapoor","Lara Dutta",23,63
"Tusshar Kapoor","Laila",65,63
"Tusshar Kapoor","Rahul Dev",66,63
"Tusshar Kapoor","Koena Mitra",67,63
"Tusshar Kapoor","Archana Puran Singh",68,63
"Tusshar Kapoor","Sharat Saxena",121,63
"Esha Deol","Lara Dutta",23,64
"Esha Deol","Laila",65,64
"Esha Deol","Rahul Dev",66,64
"Esha Deol","Koena Mitra",67,64
"Esha Deol","Archana Puran Singh",68,64
"Esha Deol","Sharat Saxena",121,64
"Lara Dutta","Laila",65,23
"Lara Dutta","Rahul Dev",66,23
"Lara Dutta","Koena Mitra",67,23
"Lara Dutta","Archana Puran Singh",68,23
"Lara Dutta","Sharat Saxena",121,23
"Laila","Rahul Dev",66,65
"Laila","Koena Mitra",67,65
"Laila","Archana Puran Singh",68,65
"Laila","Sharat Saxena",121,65
"Rahul Dev","Koena Mitra",67,66
"Rahul Dev","Archana Puran Singh",68,66
"Rahul Dev","Sharat Saxena",121,66
"Koena Mitra","Archana Puran Singh",68,67
"Koena Mitra","Sharat Saxena",121,67
"Archana Puran Singh","Sharat Saxena",121,68
"Aml Ameen","Rhea Seehorn",70,69
"Aml Ameen","Roxanne McKee",71,69
"Aml Ameen","Urs Rechn",72,69
"Aml Ameen","Akshay Kumar",1,69
"Aml Ameen","Tanya van Graan",73,69
"Aml Ameen","Andre Jacobs",74,69
"Aml Ameen","Sven Ruygrok",174,69
"Rhea Seehorn","Roxanne McKee",71,70
"Rhea Seehorn","Urs Rechn",72,70
"Rhea Seehorn","Akshay Kumar",1,70
"Rhea Seehorn","Tanya van Graan",73,70
"Rhea Seehorn","Andre Jacobs",74,70
"Rhea Seehorn","Sven Ruygrok",174,70
"Roxanne McKee","Urs Rechn",72,71
"Roxanne McKee","Akshay Kumar",1,71
"Roxanne McKee","Tanya van Graan",73,71
"Roxanne McKee","Andre Jacobs",74,71
"Roxanne McKee","Sven Ruygrok",174,71
"Urs Rechn","Akshay Kumar",1,72
"Urs Rechn","Tanya van Graan",73,72
"Urs Rechn","Andre Jacobs",74,72
"Urs Rechn","Sven Ruygrok",174,72
"Akshay Kumar","Tanya van Graan",73,1
"Akshay Kumar","Andre Jacobs",74,1
"Akshay Kumar","Sven Ruygrok",174,1
"Tanya van Graan","Andre Jacobs",74,73
"Tanya van Graan","Sven Ruygrok",174,73
"Andre Jacobs","Sven Ruygrok",174,74
"Salman Khan","Akshay Kumar",1,75
"Salman Khan","Preity Zinta",76,75
"Salman Khan","Anupam Kher",77,75
"Salman Khan","Aman Verma",78,75
"Salman Khan","Javed Sheikh",79,75
"Salman Khan","Soni Razdan",80,75
"Salman Khan","Nawab Shah",175,75
"Akshay Kumar","Preity Zinta",76,1
"Akshay Kumar","Anupam Kher",77,1
"Akshay Kumar","Aman Verma",78,1
"Akshay Kumar","Javed Sheikh",79,1
"Akshay Kumar","Soni Razdan",80,1
"Akshay Kumar","Nawab Shah",175,1
"Preity Zinta","Anupam Kher",77,76
"Preity Zinta","Aman Verma",78,76
"Preity Zinta","Javed Sheikh",79,76
"Preity Zinta","Soni Razdan",80,76
"Preity Zinta","Nawab Shah",175,76
"Anupam Kher","Aman Verma",78,77
"Anupam Kher","Javed Sheikh",79,77
"Anupam Kher","Soni Razdan",80,77
"Anupam Kher","Nawab Shah",175,77
"Aman Verma","Javed Sheikh",79,78
"Aman Verma","Soni Razdan",80,78
"Aman Verma","Nawab Shah",175,78
"Javed Sheikh","Soni Razdan",80,79
"Javed Sheikh","Nawab Shah",175,79
"Soni Razdan","Nawab Shah",175,80
"Akshay Kumar","Sonakshi Sinha",81,1
"Akshay Kumar","Shreyas Talpade",82,1
"Akshay Kumar","Minissha Lamba",83,1
"Akshay Kumar","Pitobash",84,1
"Akshay Kumar","Darshan Jariwala",85,1
"Akshay Kumar","Alexx O'Nell",86,1
"Akshay Kumar","Asrani",28,1
"Akshay Kumar","Sanjay Mishra",87,1
"Akshay Kumar","Vrijesh Hirjee",176,1
"Sonakshi Sinha","Shreyas Talpade",82,81
"Sonakshi Sinha","Minissha Lamba",83,81
"Sonakshi Sinha","Pitobash",84,81
"Sonakshi Sinha","Darshan Jariwala",85,81
"Sonakshi Sinha","Alexx O'Nell",86,81
"Sonakshi Sinha","Asrani",28,81
"Sonakshi Sinha","Sanjay Mishra",87,81
"Sonakshi Sinha","Vrijesh Hirjee",176,81
"Shreyas Talpade","Minissha Lamba",83,82
"Shreyas Talpade","Pitobash",84,82
"Shreyas Talpade","Darshan Jariwala",85,82
"Shreyas Talpade","Alexx O'Nell",86,82
"Shreyas Talpade","Asrani",28,82
"Shreyas Talpade","Sanjay Mishra",87,82
"Shreyas Talpade","Vrijesh Hirjee",176,82
"Minissha Lamba","Pitobash",84,83
"Minissha Lamba","Darshan Jariwala",85,83
"Minissha Lamba","Alexx O'Nell",86,83
"Minissha Lamba","Asrani",28,83
"Minissha Lamba","Sanjay Mishra",87,83
"Minissha Lamba","Vrijesh Hirjee",176,83
"Pitobash","Darshan Jariwala",85,84
"Pitobash","Alexx O'Nell",86,84
"Pitobash","Asrani",28,84
"Pitobash","Sanjay Mishra",87,84
"Pitobash","Vrijesh Hirjee",176,84
"Darshan Jariwala","Alexx O'Nell",86,85
"Darshan Jariwala","Asrani",28,85
"Darshan Jariwala","Sanjay Mishra",87,85
"Darshan Jariwala","Vrijesh Hirjee",176,85
"Alexx O'Nell","Asrani",28,86
"Alexx O'Nell","Sanjay Mishra",87,86
"Alexx O'Nell","Vrijesh Hirjee",176,86
"Asrani","Sanjay Mishra",87,28
"Asrani","Vrijesh Hirjee",176,28
"Sanjay Mishra","Vrijesh Hirjee",176,87
"Rajpal Yadav","Amrish Puri",12,24
"Rajpal Yadav","Kader Khan",88,24
"Rajpal Yadav","Shashi Kala",89,24
"Rajpal Yadav","Priyanka Chopra",11,24
"Rajpal Yadav","Salman Khan",75,24
"Rajpal Yadav","Akshay Kumar",1,24
