"from","to","target","source"
"Jyoti Joshi","Gururaj Manepalli",167,73
"Aadarsh Balakrishna","Gururaj Manepalli",167,74
"Naseeruddin Shah","Vidya Balan",75,1
"Naseeruddin Shah","Arshad Warsi",49,1
"Naseeruddin Shah","Salman Shahid",76,1
"Naseeruddin Shah","Anupama Kumar",168,1
"Vidya Balan","Arshad Warsi",49,75
"Vidya Balan","Salman Shahid",76,75
"Vidya Balan","Anupama Kumar",168,75
"Arshad Warsi","Salman Shahid",76,49
"Arshad Warsi","Anupama Kumar",168,49
"Salman Shahid","Anupama Kumar",168,76
"Naseeruddin Shah","Randeep Hooda",77,1
"Naseeruddin Shah","Shernaz Patel",78,1
"Naseeruddin Shah","Elena Kazan",79,1
"Naseeruddin Shah","Sharat Saxena",80,1
"Naseeruddin Shah","Vipin Sharma",81,1
"Naseeruddin Shah","Denzil Smith",82,1
"Naseeruddin Shah","Kenneth Desai",83,1
"Naseeruddin Shah","Sushil Pandey",169,1
"Randeep Hooda","Shernaz Patel",78,77
"Randeep Hooda","Elena Kazan",79,77
"Randeep Hooda","Sharat Saxena",80,77
"Randeep Hooda","Vipin Sharma",81,77
"Randeep Hooda","Denzil Smith",82,77
"Randeep Hooda","Kenneth Desai",83,77
"Randeep Hooda","Sushil Pandey",169,77
"Shernaz Patel","Elena Kazan",79,78
"Shernaz Patel","Sharat Saxena",80,78
"Shernaz Patel","Vipin Sharma",81,78
"Shernaz Patel","Denzil Smith",82,78
"Shernaz Patel","Kenneth Desai",83,78
"Shernaz Patel","Sushil Pandey",169,78
"Elena Kazan","Sharat Saxena",80,79
"Elena Kazan","Vipin Sharma",81,79
"Elena Kazan","Denzil Smith",82,79
"Elena Kazan","Kenneth Desai",83,79
"Elena Kazan","Sushil Pandey",169,79
"Sharat Saxena","Vipin Sharma",81,80
"Sharat Saxena","Denzil Smith",82,80
"Sharat Saxena","Kenneth Desai",83,80
"Sharat Saxena","Sushil Pandey",169,80
"Vipin Sharma","Denzil Smith",82,81
"Vipin Sharma","Kenneth Desai",83,81
"Vipin Sharma","Sushil Pandey",169,81
"Denzil Smith","Kenneth Desai",83,82
"Denzil Smith","Sushil Pandey",169,82
